RobotID,RobotLevel,RobotHead,RobotName,RobotCardList,RobotScore,IsExpenditonRobot
1,14,66001,Robert,"[{""Wave"":1,""Slot"":2,""MonsterID"":6001,""Rank"":1,""Level"":1,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":6001,""Rank"":1,""Level"":1,""EquipID"":[]}]",0,0
2,14,61031,Ralap,"[{""Wave"":1,""Slot"":2,""MonsterID"":1011,""Rank"":1,""Level"":1,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":1021,""Rank"":1,""Level"":1,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":1001,""Rank"":1,""Level"":1,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":1031,""Rank"":1,""Level"":1,""EquipID"":[]}]",10,0
3,14,62031,Claude,"[{""Wave"":1,""Slot"":2,""MonsterID"":2031,""Rank"":1,""Level"":1,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":2001,""Rank"":1,""Level"":1,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":2011,""Rank"":1,""Level"":1,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":2021,""Rank"":1,""Level"":1,""EquipID"":[]}]",10,0
4,14,63031,Pamela,"[{""Wave"":1,""Slot"":2,""MonsterID"":3021,""Rank"":1,""Level"":1,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":3031,""Rank"":1,""Level"":1,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":3001,""Rank"":1,""Level"":1,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":3011,""Rank"":1,""Level"":1,""EquipID"":[]}]",10,0
5,14,64031,Raymond,"[{""Wave"":1,""Slot"":2,""MonsterID"":4011,""Rank"":1,""Level"":1,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":4021,""Rank"":1,""Level"":1,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":4001,""Rank"":1,""Level"":1,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":4031,""Rank"":1,""Level"":1,""EquipID"":[]}]",10,0
6,14,65031,Aurora,"[{""Wave"":1,""Slot"":2,""MonsterID"":5031,""Rank"":1,""Level"":1,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":5001,""Rank"":1,""Level"":1,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":5011,""Rank"":1,""Level"":1,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":5021,""Rank"":1,""Level"":1,""EquipID"":[]}]",10,0
7,15,66031,Ogden,"[{""Wave"":1,""Slot"":2,""MonsterID"":6021,""Rank"":1,""Level"":2,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":6031,""Rank"":1,""Level"":2,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":6001,""Rank"":1,""Level"":2,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":6011,""Rank"":1,""Level"":2,""EquipID"":[]}]",20,0
8,15,61032,Omar,"[{""Wave"":1,""Slot"":2,""MonsterID"":1032,""Rank"":1,""Level"":2,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":1011,""Rank"":1,""Level"":2,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":1021,""Rank"":1,""Level"":2,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":1001,""Rank"":1,""Level"":2,""EquipID"":[]}]",20,0
9,15,62032,Nat,"[{""Wave"":1,""Slot"":2,""MonsterID"":2001,""Rank"":1,""Level"":2,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":2032,""Rank"":1,""Level"":2,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":2011,""Rank"":1,""Level"":2,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":2021,""Rank"":1,""Level"":2,""EquipID"":[]}]",20,0
10,15,63032,Eleanore,"[{""Wave"":1,""Slot"":2,""MonsterID"":3021,""Rank"":1,""Level"":2,""EquipID"":[]},{""Wave"":1,""Slot"":4,""MonsterID"":3001,""Rank"":1,""Level"":2,""EquipID"":[]},{""Wave"":1,""Slot"":6,""MonsterID"":3011,""Rank"":1,""Level"":2,""EquipID"":[]},{""Wave"":1,""Slot"":8,""MonsterID"":3032,""Rank"":1,""Level"":2,""EquipID"":[]}]",20,0
