ClientID,ID,Rank,MaxLevel,MaxRank,Rarity,Type,Camp,Label,BaseHP,BaseAttack,BaseDefence,GrowthHP,GrowthAttack,GrowthDefence,NormalSkillID,SuperSkillID,PassiveSkillID,DecomposeRes,BattlePower,BattlePowerGrowth,HeadItem,BagFullChangeItem,ConvertID1,ConvertID2,ConvertItem
100101,1001,1,30,2,1,1,1,"1,3",170,71,22,1709,714,226,100101,100111,700071,"2,100,4,2,10,1",70,700,61001,"51001,10",,,
100102,1001,2,45,2,1,1,1,"1,3",196,82,26,1965,821,260,100101,100111,"700071,700081","2,100,4,2,10,1",80,805,61001,"51001,10",,,
101101,1011,1,30,3,2,2,1,"1,3",285,65,30,2855,657,301,101101,101111,700071,"2,200,5,5,10,4",84,840,61011,"51011,20",,,
101102,1011,2,45,3,2,2,1,"1,3",328,75,34,3283,756,346,101101,101111,"700071,700001","2,200,5,5,10,4",96,966,61011,"51011,20",,,
101103,1011,3,60,3,2,2,1,"1,3",377,86,39,3775,869,398,101101,101111,"700071,700001","2,200,5,5,10,4",111,1110,61011,"51011,20",,,
102101,1021,1,30,4,3,3,1,"2,3",281,93,34,2818,931,349,102101,102111,700071,"2,500,6,10,10,20",100,1008,61021,"51021,30",,,
102102,1021,2,45,4,3,3,1,"2,3",324,107,40,3241,1071,401,102101,102111,"700071,102121","2,500,6,10,10,20",115,1159,61021,"51021,30",,,
102103,1021,3,60,4,3,3,1,"2,3",372,123,46,3727,1232,462,102101,102111,"700071,102121","2,500,6,10,10,20",133,1333,61021,"51021,30",,,
102104,1021,4,80,4,3,3,1,"2,3",428,141,53,4286,1417,531,102101,102111,"700071,102121","2,500,6,10,10,20",153,1533,61021,"51021,30",,,
103101,1031,1,30,5,4,1,1,"1,3",295,123,39,2953,1234,391,100102,100112,700071,"2,1000,4,25,10,100",120,1209,61031,"51031,40",114,214,"23,20"
103102,1031,2,45,5,4,1,1,"1,3",339,141,45,3396,1419,450,100102,100112,"700071,700081","2,1000,4,25,10,100",139,1391,61031,"51031,40",114,214,"23,20"
103103,1031,3,60,5,4,1,1,"1,3",390,163,51,3905,1632,517,100102,100112,"700071,700081","2,1000,4,25,10,100",159,1599,61031,"51031,40",114,214,"23,20"
103104,1031,4,80,5,4,1,1,"1,3",449,187,59,4491,1877,595,100102,100112,"700071,700081,700051","2,1000,4,25,10,100",183,1839,61031,"51031,40",114,214,"23,20"
103105,1031,5,100,5,4,1,1,"1,3",516,215,68,5165,2159,684,100102,100112,"700071,700081,700051","2,1000,4,25,10,100",211,2115,61031,"51031,40",114,214,"23,20"
103201,1032,1,30,5,4,2,1,"1,3",411,94,43,4111,947,434,101102,101112,700071,"2,1000,5,25,10,100",120,1209,61032,"51032,40",124,214,"23,20"
103202,1032,2,45,5,4,2,1,"1,3",472,108,49,4728,1089,499,101102,101112,"700071,700001","2,1000,5,25,10,100",139,1391,61032,"51032,40",124,214,"23,20"
103203,1032,3,60,5,4,2,1,"1,3",543,125,57,5437,1252,574,101102,101112,"700071,700001","2,1000,5,25,10,100",159,1599,61032,"51032,40",124,214,"23,20"
103204,1032,4,80,5,4,2,1,"1,3",625,144,66,6253,1440,660,101102,101112,"700071,700001,101121","2,1000,5,25,10,100",183,1839,61032,"51032,40",124,214,"23,20"
103205,1032,5,100,5,4,2,1,"1,3",719,165,75,7190,1656,759,101102,101112,"700071,700001,101121","2,1000,5,25,10,100",211,2115,61032,"51032,40",124,214,"23,20"
103301,1033,1,30,5,4,3,1,"2,3",338,111,41,3382,1118,419,102102,102112,700071,"2,1000,6,25,10,100",120,1209,61033,"51033,40",134,214,"23,20"
103302,1033,2,45,5,4,3,1,"2,3",388,128,48,3889,1285,482,102102,102112,"700071,102121","2,1000,6,25,10,100",139,1391,61033,"51033,40",134,214,"23,20"
103303,1033,3,60,5,4,3,1,"2,3",447,147,55,4472,1478,554,102102,102112,"700071,102121","2,1000,6,25,10,100",159,1599,61033,"51033,40",134,214,"23,20"
103304,1033,4,80,5,4,3,1,"2,3",514,170,63,5143,1700,637,102102,102112,"700071,102121,102131","2,1000,6,25,10,100",183,1839,61033,"51033,40",134,214,"23,20"
103305,1033,5,100,5,4,3,1,"2,3",591,195,73,5915,1955,733,102102,102112,"700071,102121,102131","2,1000,6,25,10,100",211,2115,61033,"51033,40",134,214,"23,20"
105101,1051,1,30,6,5,1,1,"1,3",440,174,56,4401,1747,560,105101,105111,700071,"2,10000,4,250,10,1000",174,1741,61051,"51051,50",115,215,"23,100"
105102,1051,2,45,6,5,1,1,"1,3",506,201,64,5061,2010,644,105101,105111,"700071,105121","2,10000,4,250,10,1000",200,2003,61051,"51051,50",115,215,"23,100"
105103,1051,3,60,6,5,1,1,"1,3",582,231,74,5821,2311,741,105101,105111,"700071,105121","2,10000,4,250,10,1000",230,2303,61051,"51051,50",115,215,"23,100"
105104,1051,4,80,6,5,1,1,"1,3",669,265,85,6694,2658,852,105101,105111,"700071,105121,105131","2,10000,4,250,10,1000",264,2649,61051,"51051,50",115,215,"23,100"
105105,1051,5,100,6,5,1,1,"1,3",769,305,98,7698,3057,980,105101,105111,"700071,105121,105131","2,10000,4,250,10,1000",304,3046,61051,"51051,50",115,215,"23,100"
105106,1051,6,120,6,5,1,1,"1,3",885,351,112,8853,3515,1127,105101,105111,"700071,105121,105131,105141","2,10000,4,250,10,1000",350,3503,61051,"51051,50",115,215,"23,100"
110101,1101,1,30,6,6,1,1,"1,3",528,209,67,5281,2097,672,105101,105111,700071,"2,40000,4,1500,10,4000",209,2090,61051,,,,
110102,1101,2,45,6,6,1,1,"1,3",607,241,77,6074,2412,773,105101,105111,"700071,105122","2,40000,4,1500,10,4000",240,2403,61051,,,,
110103,1101,3,60,6,6,1,1,"1,3",698,277,88,6985,2773,889,105101,105111,"700071,105122","2,40000,4,1500,10,4000",276,2764,61051,,,,
110104,1101,4,80,6,6,1,1,"1,3",803,318,102,8033,3189,1023,105101,105111,"700071,105122,105131","2,40000,4,1500,10,4000",317,3178,61051,,,,
110105,1101,5,100,6,6,1,1,"1,3",923,366,117,9238,3668,1176,105101,105111,"700071,105122,105131","2,40000,4,1500,10,4000",365,3655,61051,,,,
110106,1101,6,150,6,6,1,1,"1,3",1062,421,135,10623,4218,1353,105101,105111,"700071,105122,105131,105141","2,40000,4,1500,10,4000",420,4204,61051,,,,
115101,1151,1,30,6,7,1,1,"1,3",633,251,80,6338,2516,807,105101,105111,700071,"2,100000,4,4000,10,10000",250,2508,61051,,,,
115102,1151,2,45,6,7,1,1,"1,3",728,289,92,7289,2894,928,105101,105111,"700071,105122","2,100000,4,4000,10,10000",288,2884,61051,,,,
115103,1151,3,60,6,7,1,1,"1,3",838,332,106,8382,3328,1067,105101,105111,"700071,105122","2,100000,4,4000,10,10000",331,3317,61051,,,,
115104,1151,4,80,6,7,1,1,"1,3",963,382,122,9639,3827,1227,105101,105111,"700071,105122,105132","2,100000,4,4000,10,10000",381,3814,61051,,,,
115105,1151,5,100,6,7,1,1,"1,3",1108,440,141,11085,4402,1412,105101,105111,"700071,105122,105132","2,100000,4,4000,10,10000",438,4386,61051,,,,
115106,1151,6,180,6,7,1,1,"1,3",1274,506,162,12748,5062,1623,105101,105111,"700071,105122,105132,105141","2,100000,4,4000,10,10000",504,5044,61051,,,,
120101,1201,1,30,6,8,1,1,"1,3",760,302,96,7606,3020,968,105101,105111,700071,"2,190000,4,8000,10,19000",300,3009,61051,,,,
120102,1201,2,45,6,8,1,1,"1,3",874,347,111,8746,3473,1114,105101,105111,"700071,105122","2,190000,4,8000,10,19000",346,3461,61051,,,,
120103,1201,3,60,6,8,1,1,"1,3",1005,399,128,10059,3994,1281,105101,105111,"700071,105122","2,190000,4,8000,10,19000",398,3980,61051,,,,
120104,1201,4,80,6,8,1,1,"1,3",1156,459,147,11567,4593,1473,105101,105111,"700071,105122,105132","2,190000,4,8000,10,19000",457,4577,61051,,,,
120105,1201,5,100,6,8,1,1,"1,3",1330,528,169,13303,5282,1694,105101,105111,"700071,105122,105132","2,190000,4,8000,10,19000",526,5264,61051,,,,
120106,1201,6,210,6,8,1,1,"1,3",1529,607,194,15298,6074,1948,105101,105111,"700071,105122,105132,105142","2,190000,4,8000,10,19000",605,6053,61051,,,,
125101,1251,1,30,6,9,1,1,"1,3",912,362,116,9127,3624,1162,105101,105111,700071,"2,310000,4,16000,10,31000",361,3611,61051,,,,
125102,1251,2,45,6,9,1,1,"1,3",1049,416,133,10496,4168,1336,105101,105111,"700071,105123","2,310000,4,16000,10,31000",415,4153,61051,,,,
125103,1251,3,60,6,9,1,1,"1,3",1207,479,153,12070,4793,1537,105101,105111,"700071,105123","2,310000,4,16000,10,31000",477,4776,61051,,,,
