DropGroupID,DropItemID,Weight,Min,Max
1001,1001,1000,1,1
1011,1011,1000,1,1
1021,1021,1000,1,1
1031,1031,1000,1,1
1032,1032,1000,1,1
1033,1033,1000,1,1
1051,1051,1000,1,1
1052,1052,1000,1,1
1053,1053,1000,1,1
1054,1054,1000,1,1
1055,1055,1000,1,1
1056,1056,1000,1,1
1057,1057,1000,1,1
1059,1059,1000,1,1
1101,1101,1000,1,1
1102,1102,1000,1,1
1103,1103,1000,1,1
1104,1104,1000,1,1
1105,1105,1000,1,1
1106,1106,1000,1,1
1107,1107,1000,1,1
1109,1109,1000,1,1
1151,1151,1000,1,1
1152,1152,1000,1,1
1153,1153,1000,1,1
1154,1154,1000,1,1
1155,1155,1000,1,1
1156,1156,1000,1,1
1157,1157,1000,1,1
1159,1159,1000,1,1
1201,1201,1000,1,1
1202,1202,1000,1,1
1203,1203,1000,1,1
1204,1204,1000,1,1
1205,1205,1000,1,1
1206,1206,1000,1,1
1207,1207,1000,1,1
1209,1209,1000,1,1
1251,1251,1000,1,1
1252,1252,1000,1,1
1253,1253,1000,1,1
1254,1254,1000,1,1
1255,1255,1000,1,1
1256,1256,1000,1,1
1257,1257,1000,1,1
1259,1259,1000,1,1
1301,1301,1000,1,1
1302,1302,1000,1,1
1303,1303,1000,1,1
1304,1304,1000,1,1
1305,1305,1000,1,1
1306,1306,1000,1,1
1307,1307,1000,1,1
1309,1309,1000,1,1
1351,1351,1000,1,1
1352,1352,1000,1,1
1353,1353,1000,1,1
1354,1354,1000,1,1
1355,1355,1000,1,1
1356,1356,1000,1,1
1357,1357,1000,1,1
1359,1359,1000,1,1
1501,1501,1000,1,1
2001,2001,1000,1,1
2011,2011,1000,1,1
2021,2021,1000,1,1
2031,2031,1000,1,1
2032,2032,1000,1,1
2033,2033,1000,1,1
2051,2051,1000,1,1
2052,2052,1000,1,1
2053,2053,1000,1,1
2054,2054,1000,1,1
2055,2055,1000,1,1
2056,2056,1000,1,1
2057,2057,1000,1,1
2058,2058,1000,1,1
2059,2059,1000,1,1
2101,2101,1000,1,1
2102,2102,1000,1,1
2103,2103,1000,1,1
2104,2104,1000,1,1
2105,2105,1000,1,1
2106,2106,1000,1,1
2107,2107,1000,1,1
2108,2108,1000,1,1
2109,2109,1000,1,1
2151,2151,1000,1,1
2152,2152,1000,1,1
2153,2153,1000,1,1
2154,2154,1000,1,1
2155,2155,1000,1,1
2156,2156,1000,1,1
2157,2157,1000,1,1
2158,2158,1000,1,1
2159,2159,1000,1,1
2201,2201,1000,1,1
2202,2202,1000,1,1
2203,2203,1000,1,1
2204,2204,1000,1,1
2205,2205,1000,1,1
2206,2206,1000,1,1
2207,2207,1000,1,1
2208,2208,1000,1,1
2209,2209,1000,1,1
2251,2251,1000,1,1
2252,2252,1000,1,1
2253,2253,1000,1,1
2254,2254,1000,1,1
2255,2255,1000,1,1
2256,2256,1000,1,1
2257,2257,1000,1,1
2258,2258,1000,1,1
2259,2259,1000,1,1
2301,2301,1000,1,1
2302,2302,1000,1,1
2303,2303,1000,1,1
2304,2304,1000,1,1
2305,2305,1000,1,1
2306,2306,1000,1,1
2307,2307,1000,1,1
2308,2308,1000,1,1
2309,2309,1000,1,1
2351,2351,1000,1,1
2352,2352,1000,1,1
2353,2353,1000,1,1
2354,2354,1000,1,1
2355,2355,1000,1,1
2356,2356,1000,1,1
2357,2357,1000,1,1
2358,2358,1000,1,1
2359,2359,1000,1,1
2501,2501,1000,1,1
3001,3001,1000,1,1
3011,3011,1000,1,1
3021,3021,1000,1,1
3031,3031,1000,1,1
3032,3032,1000,1,1
3033,3033,1000,1,1
3051,3051,1000,1,1
3052,3052,1000,1,1
3053,3053,1000,1,1
3054,3054,1000,1,1
3055,3055,1000,1,1
3056,3056,1000,1,1
3057,3057,1000,1,1
3101,3101,1000,1,1
3102,3102,1000,1,1
3103,3103,1000,1,1
3104,3104,1000,1,1
3105,3105,1000,1,1
3106,3106,1000,1,1
3107,3107,1000,1,1
3151,3151,1000,1,1
3152,3152,1000,1,1
3153,3153,1000,1,1
3154,3154,1000,1,1
3155,3155,1000,1,1
3156,3156,1000,1,1
3157,3157,1000,1,1
3201,3201,1000,1,1
3202,3202,1000,1,1
3203,3203,1000,1,1
3204,3204,1000,1,1
3205,3205,1000,1,1
3206,3206,1000,1,1
3207,3207,1000,1,1
3251,3251,1000,1,1
3252,3252,1000,1,1
3253,3253,1000,1,1
3254,3254,1000,1,1
3255,3255,1000,1,1
3256,3256,1000,1,1
3257,3257,1000,1,1
3301,3301,1000,1,1
3302,3302,1000,1,1
3303,3303,1000,1,1
3304,3304,1000,1,1
3305,3305,1000,1,1
3306,3306,1000,1,1
3307,3307,1000,1,1
3351,3351,1000,1,1
3352,3352,1000,1,1
3353,3353,1000,1,1
3354,3354,1000,1,1
3355,3355,1000,1,1
3356,3356,1000,1,1
3357,3357,1000,1,1
4001,4001,1000,1,1
4011,4011,1000,1,1
4021,4021,1000,1,1
4031,4031,1000,1,1
4032,4032,1000,1,1
4033,4033,1000,1,1
4051,4051,1000,1,1
4052,4052,1000,1,1
4053,4053,1000,1,1
4054,4054,1000,1,1
4055,4055,1000,1,1
4056,4056,1000,1,1
4059,4059,1000,1,1
4101,4101,1000,1,1
4102,4102,1000,1,1
4103,4103,1000,1,1
4104,4104,1000,1,1
4105,4105,1000,1,1
4106,4106,1000,1,1
4109,4109,1000,1,1
4151,4151,1000,1,1
4152,4152,1000,1,1
4153,4153,1000,1,1
4154,4154,1000,1,1
4155,4155,1000,1,1
4156,4156,1000,1,1
4159,4159,1000,1,1
4201,4201,1000,1,1
4202,4202,1000,1,1
4203,4203,1000,1,1
4204,4204,1000,1,1
4205,4205,1000,1,1
4206,4206,1000,1,1
4209,4209,1000,1,1
4251,4251,1000,1,1
4252,4252,1000,1,1
4253,4253,1000,1,1
4254,4254,1000,1,1
4255,4255,1000,1,1
4256,4256,1000,1,1
4259,4259,1000,1,1
4301,4301,1000,1,1
4302,4302,1000,1,1
4303,4303,1000,1,1
4304,4304,1000,1,1
4305,4305,1000,1,1
4306,4306,1000,1,1
4309,4309,1000,1,1
4351,4351,1000,1,1
4352,4352,1000,1,1
4353,4353,1000,1,1
4354,4354,1000,1,1
4355,4355,1000,1,1
4356,4356,1000,1,1
4359,4359,1000,1,1
4501,4501,1000,1,1
4502,4502,1000,1,1
4503,4503,1000,1,1
4504,4504,1000,1,1
5001,5001,1000,1,1
5011,5011,1000,1,1
5021,5021,1000,1,1
5031,5031,1000,1,1
5032,5032,1000,1,1
5033,5033,1000,1,1
5051,5051,1000,1,1
5052,5052,1000,1,1
5053,5053,1000,1,1
5054,5054,1000,1,1
5055,5055,1000,1,1
5056,5056,1000,1,1
5058,5058,1000,1,1
5101,5101,1000,1,1
5102,5102,1000,1,1
5103,5103,1000,1,1
5104,5104,1000,1,1
5105,5105,1000,1,1
5106,5106,1000,1,1
5108,5108,1000,1,1
5151,5151,1000,1,1
5152,5152,1000,1,1
5153,5153,1000,1,1
5154,5154,1000,1,1
5155,5155,1000,1,1
5156,5156,1000,1,1
5158,5158,1000,1,1
5201,5201,1000,1,1
5202,5202,1000,1,1
5203,5203,1000,1,1
5204,5204,1000,1,1
5205,5205,1000,1,1
5206,5206,1000,1,1
5208,5208,1000,1,1
5251,5251,1000,1,1
5252,5252,1000,1,1
5253,5253,1000,1,1
5254,5254,1000,1,1
5255,5255,1000,1,1
5256,5256,1000,1,1
5258,5258,1000,1,1
5301,5301,1000,1,1
5302,5302,1000,1,1
5303,5303,1000,1,1
5304,5304,1000,1,1
5305,5305,1000,1,1
5306,5306,1000,1,1
5308,5308,1000,1,1
5351,5351,1000,1,1
5352,5352,1000,1,1
5353,5353,1000,1,1
5354,5354,1000,1,1
5355,5355,1000,1,1
5356,5356,1000,1,1
5358,5358,1000,1,1
6001,6001,1000,1,1
6011,6011,1000,1,1
6021,6021,1000,1,1
6031,6031,1000,1,1
6032,6032,1000,1,1
6033,6033,1000,1,1
6051,6051,1000,1,1
6052,6052,1000,1,1
6053,6053,1000,1,1
6054,6054,1000,1,1
6055,6055,1000,1,1
6056,6056,1000,1,1
6057,6057,1000,1,1
6101,6101,1000,1,1
6102,6102,1000,1,1
6103,6103,1000,1,1
6104,6104,1000,1,1
6105,6105,1000,1,1
6106,6106,1000,1,1
6107,6107,1000,1,1
6151,6151,1000,1,1
6152,6152,1000,1,1
6153,6153,1000,1,1
6154,6154,1000,1,1
6155,6155,1000,1,1
6156,6156,1000,1,1
6157,6157,1000,1,1
6201,6201,1000,1,1
6202,6202,1000,1,1
6203,6203,1000,1,1
6204,6204,1000,1,1
6205,6205,1000,1,1
6206,6206,1000,1,1
6207,6207,1000,1,1
6251,6251,1000,1,1
6252,6252,1000,1,1
6253,6253,1000,1,1
6254,6254,1000,1,1
6255,6255,1000,1,1
6256,6256,1000,1,1
6257,6257,1000,1,1
6301,6301,1000,1,1
6302,6302,1000,1,1
6303,6303,1000,1,1
6304,6304,1000,1,1
6305,6305,1000,1,1
6306,6306,1000,1,1
6307,6307,1000,1,1
6351,6351,1000,1,1
6352,6352,1000,1,1
6353,6353,1000,1,1
6354,6354,1000,1,1
6355,6355,1000,1,1
6356,6356,1000,1,1
6357,6357,1000,1,1
10001,10001,1000,1,1
10002,10002,1000,1,1
10003,10003,1000,1,1
10004,10004,1000,1,1
10005,10005,1000,1,1
10006,10006,1000,1,1
10007,10007,1000,1,1
10008,10008,1000,1,1
10009,10009,1000,1,1
10010,10010,1000,1,1
10011,10011,1000,1,1
10012,10012,1000,1,1
10013,10013,1000,1,1
10014,10014,1000,1,1
10015,10015,1000,1,1
10016,10016,1000,1,1
11001,11001,1000,1,1
11002,11002,1000,1,1
11003,11003,1000,1,1
11004,11004,1000,1,1
11005,11005,1000,1,1
11006,11006,1000,1,1
11007,11007,1000,1,1
11008,11008,1000,1,1
11009,11009,1000,1,1
11010,11010,1000,1,1
11011,11011,1000,1,1
11012,11012,1000,1,1
11013,11013,1000,1,1
11014,11014,1000,1,1
11015,11015,1000,1,1
11016,11016,1000,1,1
12001,12001,1000,1,1
12002,12002,1000,1,1
12003,12003,1000,1,1
12004,12004,1000,1,1
12005,12005,1000,1,1
12006,12006,1000,1,1
12007,12007,1000,1,1
12008,12008,1000,1,1
12009,12009,1000,1,1
12010,12010,1000,1,1
12011,12011,1000,1,1
12012,12012,1000,1,1
12013,12013,1000,1,1
12014,12014,1000,1,1
12015,12015,1000,1,1
12016,12016,1000,1,1
13001,13001,1000,1,1
13002,13002,1000,1,1
13003,13003,1000,1,1
13004,13004,1000,1,1
13005,13005,1000,1,1
13006,13006,1000,1,1
13007,13007,1000,1,1
13008,13008,1000,1,1
13009,13009,1000,1,1
13010,13010,1000,1,1
13011,13011,1000,1,1
13012,13012,1000,1,1
13013,13013,1000,1,1
13014,13014,1000,1,1
13015,13015,1000,1,1
13016,13016,1000,1,1
15001,15001,10000,1,1
15002,15002,10000,1,1
15003,15003,10000,1,1
15004,15004,10000,1,1
15005,15005,10000,1,1
15011,15011,10000,1,1
15012,15012,10000,1,1
15013,15013,10000,1,1
15014,15014,10000,1,1
15015,15015,10000,1,1
15021,15021,10000,1,1
15022,15022,10000,1,1
15023,15023,10000,1,1
15024,15024,10000,1,1
15025,15025,10000,1,1
15031,15031,10000,1,1
15032,15032,10000,1,1
15033,15033,10000,1,1
15034,15034,10000,1,1
15035,15035,10000,1,1
15041,15041,10000,1,1
15042,15042,10000,1,1
15043,15043,10000,1,1
15044,15044,10000,1,1
15045,15045,10000,1,1
15051,15051,10000,1,1
15052,15052,10000,1,1
15053,15053,10000,1,1
15054,15054,10000,1,1
15055,15055,10000,1,1
15101,15101,10000,1,1
15102,15102,10000,1,1
15103,15103,10000,1,1
15104,15104,10000,1,1
15105,15105,10000,1,1
15111,15111,10000,1,1
15112,15112,10000,1,1
15113,15113,10000,1,1
15114,15114,10000,1,1
15115,15115,10000,1,1
15121,15121,10000,1,1
15122,15122,10000,1,1
15123,15123,10000,1,1
15124,15124,10000,1,1
15125,15125,10000,1,1
15131,15131,10000,1,1
15132,15132,10000,1,1
15133,15133,10000,1,1
15134,15134,10000,1,1
15135,15135,10000,1,1
15141,15141,10000,1,1
15142,15142,10000,1,1
15143,15143,10000,1,1
15144,15144,10000,1,1
15145,15145,10000,1,1
15151,15151,10000,1,1
15152,15152,10000,1,1
15153,15153,10000,1,1
15154,15154,10000,1,1
15155,15155,10000,1,1
15201,15201,10000,1,1
15202,15202,10000,1,1
15203,15203,10000,1,1
15204,15204,10000,1,1
15205,15205,10000,1,1
15211,15211,10000,1,1
15212,15212,10000,1,1
15213,15213,10000,1,1
15214,15214,10000,1,1
15215,15215,10000,1,1
15221,15221,10000,1,1
15222,15222,10000,1,1
15223,15223,10000,1,1
15224,15224,10000,1,1
15225,15225,10000,1,1
15231,15231,10000,1,1
15232,15232,10000,1,1
15233,15233,10000,1,1
15234,15234,10000,1,1
15235,15235,10000,1,1
15241,15241,10000,1,1
15242,15242,10000,1,1
15243,15243,10000,1,1
15244,15244,10000,1,1
15245,15245,10000,1,1
15251,15251,10000,1,1
15252,15252,10000,1,1
15253,15253,10000,1,1
15254,15254,10000,1,1
15255,15255,10000,1,1
100001,10001,108000,1,1
100001,10002,54000,1,1
100001,4,279333,1,1
100001,5,307266,1,1
100001,6,251400,1,1
100002,11001,108000,1,1
100002,11002,54000,1,1
100002,4,279333,1,1
100002,5,307266,1,1
100002,6,251400,1,1
100003,12001,108000,1,1
100003,12002,54000,1,1
100003,4,279333,1,1
100003,5,307266,1,1
100003,6,251400,1,1
100004,13001,108000,1,1
100004,13002,54000,1,1
100004,4,279333,1,1
100004,5,307266,1,1
100004,6,251400,1,1
100005,57012,6756,1,1
100005,57002,36033,1,1
100005,10001,27000,1,1
100005,10002,13500,1,1
100005,11001,27000,1,1
100005,11002,13500,1,1
100005,12001,27000,1,1
100005,12002,13500,1,1
100005,13001,27000,1,1
100005,13002,13500,1,1
100005,4,265070,1,1
100005,5,291577,1,1
100005,6,238563,1,1
100006,10001,144000,1,1
100006,10002,72000,1,1
100006,4,261333,1,1
100006,5,287466,1,1
100006,6,235200,1,1
100007,11001,144000,1,1
100007,11002,72000,1,1
100007,4,261333,1,1
100007,5,287466,1,1
100007,6,235200,1,1
100008,12001,144000,1,1
100008,12002,72000,1,1
100008,4,261333,1,1
100008,5,287466,1,1
100008,6,235200,1,1
100009,13001,144000,1,1
100009,13002,72000,1,1
100009,4,261333,1,1
100009,5,287466,1,1
100009,6,235200,1,1
100010,57013,6924,1,1
100010,57003,36933,1,1
100010,10001,36000,1,1
100010,10002,18000,1,1
100010,11001,36000,1,1
100010,11002,18000,1,1
100010,12001,36000,1,1
100010,12002,18000,1,1
100010,13001,36000,1,1
100010,13002,18000,1,1
100010,4,246714,1,1
100010,5,271385,1,1
100010,6,222043,1,1
100011,10001,180000,1,1
100011,10002,90000,1,1
100011,4,243333,1,1
100011,5,267666,1,1
100011,6,219000,1,1
100012,11001,180000,1,1
100012,11002,90000,1,1
100012,4,243333,1,1
100012,5,267666,1,1
100012,6,219000,1,1
100013,12001,180000,1,1
100013,12002,90000,1,1
100013,4,243333,1,1
100013,5,267666,1,1
100013,6,219000,1,1
100014,13001,180000,1,1
100014,13002,90000,1,1
100014,4,243333,1,1
100014,5,267666,1,1
100014,6,219000,1,1
100015,57014,7093,1,1
100015,57004,37833,1,1
100015,10001,45000,1,1
100015,10002,22500,1,1
100015,11001,45000,1,1
100015,11002,22500,1,1
100015,12001,45000,1,1
100015,12002,22500,1,1
100015,13001,45000,1,1
100015,13002,22500,1,1
100015,4,228358,1,1
100015,5,251194,1,1
100015,6,205522,1,1
100016,10001,216000,1,1
100016,10002,108000,1,1
100016,4,225333,1,1
100016,5,247866,1,1
100016,6,202800,1,1
100017,11001,216000,1,1
100017,11002,108000,1,1
100017,4,225333,1,1
100017,5,247866,1,1
100017,6,202800,1,1
100018,12001,216000,1,1
100018,12002,108000,1,1
100018,4,225333,1,1
100018,5,247866,1,1
100018,6,202800,1,1
100019,13001,216000,1,1
100019,13002,108000,1,1
100019,4,225333,1,1
100019,5,247866,1,1
100019,6,202800,1,1
100020,57015,7262,1,1
100020,57005,38733,1,1
100020,10001,54000,1,1
100020,10002,27000,1,1
100020,11001,54000,1,1
100020,11002,27000,1,1
100020,12001,54000,1,1
100020,12002,27000,1,1
100020,13001,54000,1,1
100020,13002,27000,1,1
100020,4,210002,1,1
100020,5,231002,1,1
100020,6,189002,1,1
100021,10001,252000,1,1
100021,10002,126000,1,1
100021,4,207333,1,1
100021,5,228066,1,1
100021,6,186600,1,1
100022,11001,252000,1,1
100022,11002,126000,1,1
100022,4,207333,1,1
100022,5,228066,1,1
100022,6,186600,1,1
100023,12001,252000,1,1
100023,12002,126000,1,1
100023,4,207333,1,1
100023,5,228066,1,1
100023,6,186600,1,1
100024,13001,252000,1,1
100024,13002,126000,1,1
100024,4,207333,1,1
100024,5,228066,1,1
100024,6,186600,1,1
100025,57016,7431,1,1
100025,57006,39633,1,1
100025,10001,63000,1,1
100025,10002,31500,1,1
100025,11001,63000,1,1
100025,11002,31500,1,1
100025,12001,63000,1,1
100025,12002,31500,1,1
100025,13001,63000,1,1
100025,13002,31500,1,1
100025,4,191645,1,1
100025,5,210810,1,1
100025,6,172481,1,1
100026,10001,288000,1,1
100026,10002,144000,1,1
100026,4,189333,1,2
100026,5,208266,1,2
100026,6,170400,1,2
100027,11001,288000,1,1
100027,11002,144000,1,1
100027,4,189333,1,2
100027,5,208266,1,2
100027,6,170400,1,2
100028,12001,288000,1,1
100028,12002,144000,1,1
100028,4,189333,1,2
100028,5,208266,1,2
100028,6,170400,1,2
100029,13001,288000,1,1
100029,13002,144000,1,1
100029,4,189333,1,2
100029,5,208266,1,2
100029,6,170400,1,2
100030,57011,7599,1,1
100030,57001,40533,1,1
100030,10001,72000,1,1
100030,10002,36000,1,1
100030,11001,72000,1,1
100030,11002,36000,1,1
100030,12001,72000,1,1
100030,12002,36000,1,1
100030,13001,72000,1,1
100030,13002,36000,1,1
100030,4,173289,1,2
100030,5,190618,1,2
100030,6,155960,1,2
100031,10001,324000,1,1
100031,10003,81000,1,1
100031,4,198333,1,2
100031,5,218166,1,2
100031,6,178500,1,2
100032,11001,324000,1,1
100032,11003,81000,1,1
100032,4,198333,1,2
100032,5,218166,1,2
100032,6,178500,1,2
100033,12001,324000,1,1
100033,12003,81000,1,1
100033,4,198333,1,2
100033,5,218166,1,2
100033,6,178500,1,2
100034,13001,324000,1,1
100034,13003,81000,1,1
100034,4,198333,1,2
100034,5,218166,1,2
100034,6,178500,1,2
100035,57012,7768,1,1
100035,57002,41433,1,1
100035,10001,81000,1,1
100035,10003,20250,1,1
100035,11001,81000,1,1
100035,11003,20250,1,1
100035,12001,81000,1,1
100035,12003,20250,1,1
100035,13001,81000,1,1
100035,13003,20250,1,1
100035,4,181933,1,2
100035,5,200126,1,2
100035,6,163740,1,2
100036,10001,360000,1,1
100036,10003,90000,1,1
100036,13,100000,1,2
100036,4,150000,1,2
100036,5,165000,1,2
100036,6,135000,1,2
100037,11001,360000,1,1
100037,11003,90000,1,1
100037,13,100000,1,2
100037,4,150000,1,2
100037,5,165000,1,2
100037,6,135000,1,2
100038,12001,360000,1,1
100038,12003,90000,1,1
100038,13,100000,1,2
100038,4,150000,1,2
100038,5,165000,1,2
100038,6,135000,1,2
100039,13001,360000,1,1
100039,13003,90000,1,1
100039,13,100000,1,2
100039,4,150000,1,2
100039,5,165000,1,2
100039,6,135000,1,2
100040,57013,7937,1,1
100040,57003,42333,1,1
100040,10001,90000,1,1
100040,10003,22500,1,1
100040,11001,90000,1,1
100040,11003,22500,1,1
100040,12001,90000,1,1
100040,12003,22500,1,1
100040,13001,90000,1,1
100040,13003,22500,1,1
100040,13,100000,1,2
100040,4,133243,1,3
100040,5,146567,1,3
100040,6,119919,1,3
100041,10001,396000,1,1
100041,10003,99000,1,1
100041,13,100000,1,2
100041,4,135000,1,3
100041,5,148500,1,3
100041,6,121500,1,3
100042,11001,396000,1,1
100042,11003,99000,1,1
100042,13,100000,1,2
100042,4,135000,1,3
100042,5,148500,1,3
100042,6,121500,1,3
100043,12001,396000,1,1
