ID,Type,SkillAttr,IsCancelReport,SkillTriggerType,TriggerCondition1,TriggerCondition2,StunDisableAction,IsDelayLastSkill,TriggerRoundMax,TriggerBattleMax,SkillMelee,SkillEnemy,RangeType,SkillTarget,MaxTarget,CertainHit,Effect1Cond1,Effect1Cond2,Effect1,Effect2Cond1,Effect2Cond2,Effect2,Effect3Cond1,Effect3Cond2,Effect3,ComboSKill
100101,1,,,,,,1,0,0,0,1,2,1,1,1,0,,,1|10000|0|0,,,,,,,
100102,1,,,,,,1,0,0,0,1,2,1,1,1,0,,,1|10000|0|0,,,,,,,
101101,1,,,,,,1,0,0,0,1,2,1,1,1,0,,,1|10000|0|0,,,,,,,
101102,1,,,,,,1,0,0,0,1,2,1,1,1,0,,,1|10000|0|0,,,,,,,
102101,1,,,,,,1,0,0,0,2,2,1,1,1,0,,,1|10000|0|0,,,,,,,
102102,1,,,,,,1,0,0,0,2,2,1,1,1,0,,,1|10000|0|0,,,,,,,
200101,1,,,,,,1,0,0,0,2,2,1,1,1,0,,,1|10000|0|0,,,,,,,
200102,1,,,,,,1,0,0,0,2,2,1,1,1,0,,,1|10000|0|0,,,,,,,
201101,1,,,,,,1,0,0,0,1,2,1,1,1,0,,,1|10000|0|0,,,,,,,
201102,1,,,,,,1,0,0,0,1,2,1,1,1,0,,,1|10000|0|0,,,,,,,
202101,1,,,,,,1,0,0,0,2,2,1,1,1,0,,,1|10000|0|0,,,,,,,
202102,1,,,,,,1,0,0,0,2,2,1,1,1,0,,,1|10000|0|0,,,,,,,
300101,1,,,,,,1,0,0,0,2,2,1,1,1,0,,,1|10000|0|0,,,,,,,
300102,1,,,,,,1,0,0,0,2,2,1,1,1,0,,,1|10000|0|0,,,,,,,
301101,1,,,,,,1,0,0,0,1,2,1,1,1,0,,,1|10000|0|0,,,,,,,
301102,1,,,,,,1,0,0,0,1,2,1,1,1,0,,,1|10000|0|0,,,,,,,
302101,1,,,,,,1,0,0,0,1,2,1,1,1,0,,,1|10000|0|0,,,,,,,
302102,1,,,,,,1,0,0,0,1,2,1,1,1,0,,,1|10000|0|0,,,,,,,
400101,1,,,,,,1,0,0,0,2,2,1,1,1,0,,,1|10000|0|0,,,,,,,
400102,1,,,,,,1,0,0,0,2,2,1,1,1,0,,,1|10000|0|0,,,,,,,
401101,1,,,,,,1,0,0,0,1,2,1,1,1,0,,,1|10000|0|0,,,,,,,
401102,1,,,,,,1,0,0,0,1,2,1,1,1,0,,,1|10000|0|0,,,,,,,
402101,1,,,,,,1,0,0,0,1,2,1,1,1,0,,,1|10000|0|0,,,,,,,
402102,1,,,,,,1,0,0,0,1,2,1,1,1,0,,,1|10000|0|0,,,,,,,
500101,1,,,,,,1,0,0,0,1,2,1,1,1,0,,,1|10000|0|0,,,,,,,
500102,1,,,,,,1,0,0,0,1,2,1,1,1,0,,,1|10000|0|0,,,,,,,
501101,1,,,,,,1,0,0,0,1,2,1,1,1,0,,,1|10000|0|0,,,,,,,
501102,1,,,,,,1,0,0,0,1,2,1,1,1,0,,,1|10000|0|0,,,,,,,
502101,1,,,,,,1,0,0,0,2,2,1,1,1,0,,,1|10000|0|0,,,,,,,
502102,1,,,,,,1,0,0,0,2,2,1,1,1,0,,,1|10000|0|0,,,,,,,
600101,1,,,,,,1,0,0,0,2,2,1,1,1,0,,,1|10000|0|0,,,,,,,
600102,1,,,,,,1,0,0,0,2,2,1,1,1,0,,,1|10000|0|0,,,,,,,
601101,1,,,,,,1,0,0,0,1,2,1,1,1,0,,,1|10000|0|0,,,,,,,
601102,1,,,,,,1,0,0,0,1,2,1,1,1,0,,,1|10000|0|0,,,,,,,
602101,1,,,,,,1,0,0,0,2,2,1,1,1,0,,,1|10000|0|0,,,,,,,
602102,1,,,,,,1,0,0,0,2,2,1,1,1,0,,,1|10000|0|0,,,,,,,
100111,2,,,,,,1,0,0,0,1,2,1,1,1,0,,,1|22000|0|0,,,3|3|10000|1800|3,,,,
100112,2,,,,,,1,0,0,0,1,2,1,1,1,0,,,1|22000|0|0,,,3|3|10000|1800|3,,,,
101111,2,,,,,,1,0,0,0,1,2,1,2,1,0,,,1|19000|0|0,,,3|1|10000|1500|5,,,,
101112,2,,,,,,1,0,0,0,1,2,1,2,1,0,,,1|19000|0|0,,,3|1|10000|1500|5,,,,
102111,2,,,,,,1,0,0,0,2,2,2,1,1,0,,,1|15000|0|0,,,,,,,
102112,2,,,,,,1,0,0,0,2,2,2,1,1,0,,,1|15000|0|0,,,,,,,
200111,2,,,,,,1,0,0,0,1,2,1,1,1,0,,,1|25000|0|0,,,,,,,
200112,2,,,,,,1,0,0,0,1,2,1,1,1,0,,,1|25000|0|0,,,,,,,
201111,2,,,,,,1,0,0,0,1,2,1,1,1,0,,,1|25000|0|0,,,,,,,
201112,2,,,,,,1,0,0,0,1,2,1,1,1,0,,,1|25000|0|0,,,,,,,
202111,2,,,,,,1,0,0,0,2,2,1,3,1,0,,,1|21000|0|0,,,,,,,
202112,2,,,,,,1,0,0,0,2,2,1,3,1,0,,,1|21000|0|0,,,,,,,
300111,2,,,,,,1,0,0,0,2,2,3,1,1,0,,,1|18000|0|0,,,,,,,
300112,2,,,,,,1,0,0,0,2,2,3,1,1,0,,,1|18000|0|0,,,,,,,
301111,2,,,,,,1,0,0,0,1,2,1,1,1,0,,,1|25000|0|0,,,,,,,
301112,2,,,,,,1,0,0,0,1,2,1,1,1,0,,,1|25000|0|0,,,,,,,
302111,2,,,,,,1,0,0,0,2,2,2,1,1,0,,,1|15000|0|0,,,,,,,
302112,2,,,,,,1,0,0,0,2,2,2,1,1,0,,,1|15000|0|0,,,,,,,
400111,2,,,,,,1,0,0,0,2,2,5,1,1,0,,,1|18000|0|0,,,,,,,
400112,2,,,,,,1,0,0,0,2,2,5,1,1,0,,,1|18000|0|0,,,,,,,
