StageID,MaxWaves,MonsterList,MaxRound,TimeUpWin,PlayerCardMax,FriendSupportMax,NpcSupportList,StageTeamSkillList,RewardList
1,1,"[{""Wave"":1,""Slot"":1,""MonsterID"":1001,""Rank"":1,""Level"":1,""EquipID"":[22007]},{""Wave"":1,""Slot"":3,""MonsterID"":1001,""Rank"":1,""Level"":1,""EquipID"":[22007]},{""Wave"":1,""Slot"":5,""MonsterID"":1001,""Rank"":1,""Level"":1,""EquipID"":[22007]}]",15,,4,0,,,"1,600,2,300,7,100,10001,4,51001,10"
2,1,"[{""Wave"":1,""Slot"":1,""MonsterID"":1001,""Rank"":1,""Level"":1,""EquipID"":[22007]},{""Wave"":1,""Slot"":3,""MonsterID"":1001,""Rank"":1,""Level"":1,""EquipID"":[22007]},{""Wave"":1,""Slot"":5,""MonsterID"":1001,""Rank"":1,""Level"":1,""EquipID"":[22007]},{""Wave"":1,""Slot"":7,""MonsterID"":1001,""Rank"":1,""Level"":1,""EquipID"":[22007]},{""Wave"":1,""Slot"":9,""MonsterID"":1001,""Rank"":1,""Level"":1,""EquipID"":[22007]}]",15,,4,0,,,"1,600,2,300,7,100,11001,4"
3,1,"[{""Wave"":1,""Slot"":1,""MonsterID"":1011,""Rank"":1,""Level"":5,""EquipID"":[22003]},{""Wave"":1,""Slot"":3,""MonsterID"":1011,""Rank"":1,""Level"":5,""EquipID"":[22003]},{""Wave"":1,""Slot"":7,""MonsterID"":1011,""Rank"":1,""Level"":5,""EquipID"":[22003]},{""Wave"":1,""Slot"":9,""MonsterID"":1011,""Rank"":1,""Level"":5,""EquipID"":[22003]}]",15,,4,0,,,"1,600,2,300,7,100,12001,4"
4,1,"[{""Wave"":1,""Slot"":1,""MonsterID"":1001,""Rank"":1,""Level"":5,""EquipID"":[22007]},{""Wave"":1,""Slot"":2,""MonsterID"":1001,""Rank"":1,""Level"":5,""EquipID"":[22007]},{""Wave"":1,""Slot"":3,""MonsterID"":1001,""Rank"":1,""Level"":5,""EquipID"":[22007]},{""Wave"":1,""Slot"":5,""MonsterID"":1031,""Rank"":1,""Level"":5,""EquipID"":[23003]}]",15,,4,0,,,"1,600,2,300,7,100,13001,4"
5,1,"[{""Wave"":1,""Slot"":4,""MonsterID"":1011,""Rank"":1,""Level"":5,""EquipID"":[22003]},{""Wave"":1,""Slot"":5,""MonsterID"":1054,""Rank"":1,""Level"":5,""EquipID"":[23001]},{""Wave"":1,""Slot"":6,""MonsterID"":1011,""Rank"":1,""Level"":5,""EquipID"":[22003]}]",15,,4,0,,,"1,600,2,300,7,100,15,2"
6,1,"[{""Wave"":1,""Slot"":1,""MonsterID"":2001,""Rank"":1,""Level"":10,""EquipID"":[22012]},{""Wave"":1,""Slot"":3,""MonsterID"":2001,""Rank"":1,""Level"":10,""EquipID"":[22012]},{""Wave"":1,""Slot"":5,""MonsterID"":2031,""Rank"":1,""Level"":10,""EquipID"":[23008]}]",15,,4,0,,,"1,800,2,400,7,120,10002,1"
7,1,"[{""Wave"":1,""Slot"":2,""MonsterID"":2032,""Rank"":1,""Level"":10,""EquipID"":[23008]},{""Wave"":1,""Slot"":4,""MonsterID"":2011,""Rank"":1,""Level"":10,""EquipID"":[22008]},{""Wave"":1,""Slot"":5,""MonsterID"":2011,""Rank"":1,""Level"":10,""EquipID"":[22008]},{""Wave"":1,""Slot"":6,""MonsterID"":2011,""Rank"":1,""Level"":10,""EquipID"":[22008]}]",15,,4,0,,,"1,800,2,400,7,120,11002,1"
8,1,"[{""Wave"":1,""Slot"":2,""MonsterID"":1032,""Rank"":1,""Level"":10,""EquipID"":[23008]},{""Wave"":1,""Slot"":4,""MonsterID"":1011,""Rank"":1,""Level"":10,""EquipID"":[22008]},{""Wave"":1,""Slot"":6,""MonsterID"":1011,""Rank"":1,""Level"":10,""EquipID"":[22008]},{""Wave"":1,""Slot"":7,""MonsterID"":1021,""Rank"":1,""Level"":10,""EquipID"":[22004]},{""Wave"":1,""Slot"":9,""MonsterID"":1021,""Rank"":1,""Level"":10,""EquipID"":[22004]}]",15,,4,0,,,"1,800,2,400,7,120,12002,1"
9,1,"[{""Wave"":1,""Slot"":1,""MonsterID"":1021,""Rank"":1,""Level"":10,""EquipID"":[22004]},{""Wave"":1,""Slot"":3,""MonsterID"":1021,""Rank"":1,""Level"":10,""EquipID"":[22004]},{""Wave"":1,""Slot"":5,""MonsterID"":1021,""Rank"":1,""Level"":10,""EquipID"":[22004]},{""Wave"":1,""Slot"":7,""MonsterID"":1033,""Rank"":1,""Level"":10,""EquipID"":[23008]},{""Wave"":1,""Slot"":9,""MonsterID"":1033,""Rank"":1,""Level"":10,""EquipID"":[23008]}]",15,,4,0,,,"1,800,2,400,7,120,13002,1"
10,1,"[{""Wave"":1,""Slot"":1,""MonsterID"":1011,""Rank"":1,""Level"":10,""EquipID"":[22008]},{""Wave"":1,""Slot"":2,""MonsterID"":1011,""Rank"":1,""Level"":10,""EquipID"":[22008]},{""Wave"":1,""Slot"":3,""MonsterID"":1011,""Rank"":1,""Level"":10,""EquipID"":[22008]},{""Wave"":1,""Slot"":7,""MonsterID"":1051,""Rank"":1,""Level"":10,""EquipID"":[23004]},{""Wave"":1,""Slot"":9,""MonsterID"":1054,""Rank"":1,""Level"":10,""EquipID"":[23004]}]",15,,4,0,,,"1,800,2,400,7,120,16,1"
